"id","param","quantity","unit","value","tolerance","photo_ref","notes"
"M-00.g02","","Group 02 — Rear axle + drivetrain (ASA) (8 files): none / some / all, then WHICH parts","text","","-","","PHOTO REQUIRED — the group as laid out. Condition per part: good / warped / layer split / supports still on / TP / unknown material. Unknown material or settings = a DIAGNOSTIC part, not a build part."
"M-00.g03","","Group 03 — Front suspension + steering (PETG) (8 files): none / some / all, then WHICH parts","text","","-","","PHOTO REQUIRED — the group as laid out. Condition per part: good / warped / layer split / supports still on / TP / unknown material. Unknown material or settings = a DIAGNOSTIC part, not a build part."
"M-00.g04","","Group 04 — Wheels (PETG) (7 files): none / some / all, then WHICH parts","text","","-","","PHOTO REQUIRED — the group as laid out. Condition per part: good / warped / layer split / supports still on / TP / unknown material. Unknown material or settings = a DIAGNOSTIC part, not a build part."
"M-00.g05","","Group 05 — Floor (PETG) (8 files): none / some / all, then WHICH parts","text","","-","","PHOTO REQUIRED — the group as laid out. Condition per part: good / warped / layer split / supports still on / TP / unknown material. Unknown material or settings = a DIAGNOSTIC part, not a build part."
"M-00.g06","","Group 06 — Body shell (PLA matte black) (7 files): none / some / all, then WHICH parts","text","","-","","PHOTO REQUIRED — the group as laid out. Condition per part: good / warped / layer split / supports still on / TP / unknown material. Unknown material or settings = a DIAGNOSTIC part, not a build part."
"M-00.g07","","Group 07 — Brake-light diffuser (1 files): none / some / all, then WHICH parts","text","","-","","PHOTO REQUIRED — the group as laid out. Condition per part: good / warped / layer split / supports still on / TP / unknown material. Unknown material or settings = a DIAGNOSTIC part, not a build part."
"M-00.g99","","OPTIONAL / UNCERTAIN / anything else printed","text","","-","","Name them; do not fold them into a REQUIRED group."
"M-00.p1","","Does `Servoholder.stl` exist? condition?","yes/no + text","","-","","Called out by name because it gates M-28, the ~1.7 mm steering-servo interference (OP-B)."
"M-00.p2","","Does `FloorBoard2.stl` exist? condition?","yes/no + text","","-","","Called out by name because it gates M-20, the three centreline splice screws (OP-G)."
"M-00.p3","","Does `2023NewFrontFloorLargerParts.stl` exist? condition?","yes/no + text","","-","","Called out by name because it gates M-20 and the floor datum DAT-F itself."
"M-00.p4","","Does `NEW BODY 2024 REAR.stl (+ FRONT 1)` exist? condition?","yes/no + text","","-","","Called out by name because it M-01 needs a shell to seat — no shell, no S0, cage stays a proposal."
"M-00.p5","","Does `2023NEWSideVent1/2.stl` exist? condition?","yes/no + text","","-","","Called out by name because it gates M-15, the charge-flap candidate CF-1."
"M-00.p6","","Does `2021Rearwing with DRS.stl + DRS Arm for 2021 Rear Wing.stl` exist? condition?","yes/no + text","","-","","Called out by name because it gates M-14, the DRS linkage."
"M-03a.1","","Bare PCB length (jaws on FR4 edges)","mm","","±0.2","","esp_len. STOP if outside 39 x 31 +/-1: not the planned SKU."
"M-03a.2","","Bare PCB width","mm","","±0.2","","esp_wid."
"M-03b","","PCB thickness on a bare edge","mm","","±0.1","","esp_pcb_t; slot_w derives from it. Expect 1.6."
