id,zone,x,l,z,orientation,confidence,note
DRV-ESC,rear,−60,−25,+3,fan up; 43 mm X; 36.8 mm L,ASSUMPTION,Current Z5R candidate FAILS S0=0 side-envelope check; freeze PS-02/CAD-03.
DRV-MOT,rear,−105,0,+27 axis,shaft lateral; can transverse,ASSUMPTION,"Donor drivetrain fixes the family of location, not a datum-clean transform."
DRV-BELT,rear,−118…−82,belt side,+10…+45,two pulley planes and moving tangent runs,ASSUMPTION,Pulley teeth/diameters/plane offsets require the physical set.
DRV-SHAFT,rear,−90.9,transverse,+26…+27 axis,coaxial with rear wheels,X DERIVED; L/Z ASSUMPTION,Rear shell arch establishes X; ride height establishes Z.
DRV-SPUR,rear,−90.9,belt-side offset TBD,+26…+27 axis,vertical gear plane,X DERIVED; L/Z ASSUMPTION,Bolt pattern and lateral stack are physical gates.
DRV-PINION,rear,motor axis ±27.25,motor shaft,TBD,parallel gear plane to spur,DERIVED centre distance; placement ASSUMPTION,"27.25 mm is 48P pitch-centre arithmetic, not a mounted measurement."
BRG-REAR,rear,−90.9,carrier centres TBD,+26…+27,axes lateral,X DERIVED; L/Z ASSUMPTION,Gate A decides original carriers versus motor covers.
SHK-REAR,rear,−60…−25,0,+10…+45,"longitudinal/central, exact eyes TBD",ASSUMPTION,Full articulation owns the envelope; 68 mm is only free eye distance.
PWR-BAT-1,power,−44,+25,+3,"75 X ×45 L ×25 Z, XT60 forward",ASSUMPTION,Candidate crosses provisional steering corridor and shell shoulder; fit gate open.
PWR-BAT-2,power,OFF-CAR,OFF-CAR,OFF-CAR,charged swap/storage pack,DERIVED architecture decision,Two onboard packs do not fit the selected architecture without relocating electronics.
PWR-UBEC-A,power,−15,−38,+3,"flat, leads fore/aft",ASSUMPTION,Rail A route stays forward/upper and away from motor phase wires.
PWR-UBEC-B,power,−48,−38,+3,"flat, leads fore/aft",ASSUMPTION,Rail B remains low/right; capacitor adjacent.
PWR-CAP-B,power,−48,−48,+3,sideways/upright after real can measure,ASSUMPTION,Shortest practical Rail-B leads.
PWR-CAP-LED,power,+20,−40,+3,at lighting harness origin,ASSUMPTION,Final position follows first strip segment and stock count.
SNS-DIV,power,−5,−35,+3,heatshrunk inline branch,ASSUMPTION,Battery sense branch; ground returns to star.
PWR-XT60,power,+20,−40,+3,contacts recessed; disconnect upward,ASSUMPTION,Body-on reach remains a gate.
PWR-XT30,power,+10,−42,+3,tap row upward,ASSUMPTION,No final seat before connector calipers.
PWR-BUZZ,power,+25,−50,+3,apertures unobstructed,ASSUMPTION,Optional; no priority over main disconnect access.
CTL-E1,control,+10,−32,+20 deck,"flat, USB outboard",ASSUMPTION,Conditional on S0 and physical steering sweep.
CTL-E2,control,−45,−32,+20 deck,"flat, USB outboard",ASSUMPTION,Conditional on S0; outer header field is the shell limiter.
CTL-E3,control,OFF-CAR,OFF-CAR,OFF-CAR,bench spare,DOCUMENTED,BOM explicitly assigns the third board as spare.
RX-ELRS,control,+20 receiver / +120 antenna,+38 / +15,+3 / +30,receiver flat; T antenna transverse/clear,ASSUMPTION,Forward antenna route targets separation from video antennas.
VID-WIFI,control,−45,−18,+20 deck,"flat, heatsink up, U.FL aft",ASSUMPTION,P9 hard cap only; real module and shell fit are open.
VID-ANT,control,−45 roots,±18,+35,70 mm longitudinal routes; shallow opposing V,ASSUMPTION,"Chassis-mounted; ≥150 mm design target from 2.4 GHz antenna, validate D-20."
VID-CAM,camera,+60 Option A / −53 Option B,0,+20 / +73+S0,boresight X+; adjustable roll,ASSUMPTION,Option A preferred for CG/POV; identity and calipers still block geometry.
