joint_id,zone,assembly,order,asm_step,part_a,part_b,hardware,interface,fastening_retention,dependency,instruction,tool,torque_threadlock,confidence,asm_check,disposition,evidence
J-PWR-008,ZP power,power,4.01,ASM-04,M3×5 heat-set insert,PS-15 junction support (DIAG-CAD),heat-set M3×5 brass insert + M3 bolt from BOM kit; exact bolt length ASSUMPTION,M3×5 insert DOCUMENTED; PS-15 repeated-service boss exists in spec but DIAG-CAD seat is not production-authorized,insert heat-set square to boss; service screw retained by metal thread,PS-15 production boss authorized and printed,Heat-set each service insert square and flush; let cool fully before chasing with an M3 screw.,temperature-controlled soldering iron + insert tip; matching hex driver after cool-down,Insert with heat only; never torque while hot. Service screw snug; low-strength threadlock only metal–metal.,ASSUMPTION,"ASM-04: boss wall/depth, insertion temperature/result and hand-thread check.",HOLD,
J-BDY-001,ZB body,body,4.02,ASM-04,M3×5 heat-set insert,NEW BODY 2024 FRONT,heat-set M3×5 brass insert + M3 bolt from BOM kit; exact bolt length ASSUMPTION,Three body service bosses documented for M3 mounting; actual insert OD boss wall/depth unmeasured,insert heat-set square to boss; service screw retained by metal thread,Printed shell inspected and insert policy accepted,Heat-set inserts only where the boss has enough wall/depth; keep each square to its mating screw axis.,temperature-controlled soldering iron + insert tip; matching hex driver after cool-down,Insert with heat only; never torque while hot. Service screw snug; low-strength threadlock only metal–metal.,ASSUMPTION,ASM-04: record boss ID/wall/depth and which of three positions receives inserts.,HOLD,
J-FLR-001,Z0 floor,floor,5.01,ASM-05,2023 front floor,2023 rear floor,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,Matched tongue/groove at X=0; adjacent STL M3-class features 3.00–3.36 mm [VERIFIED],screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,ASM-04 inserts/nuts seated,"Slide tongue into groove on DAT-F, clamp flat, then fit the drawing-[2] M3 stack without lifting the seam.",matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,VERIFIED,ASM-05: straightedge across DAT-F; record any step/rock before tightening.,READY,p0_02 §1 + p0_d01_feature_map.csv; drawing [2]
J-FLR-002,Z0 floor,floor,5.02,ASM-05,FloorBoard2,2023 front floor,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,FloorBoard2 registered underside channel and front-floor M3 features [VERIFIED geometry]; exact bolt length ASSUMPTION,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FLR-001 loosely assembled,"Offer FloorBoard2 from below, align its forward hole(s), start fasteners two turns, leave loose.",matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,VERIFIED,ASM-05: confirm FloorBoard2 stays in the recessed underside channel and does not bow DAT-F.,READY,p0_02 FloorBoard2 transform and matched-hole span
J-FLR-003,Z0 floor,floor,5.03,ASM-05,FloorBoard2,2023 rear floor,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,FloorBoard2 rear hole span matches rear-floor features within 0.2 mm [VERIFIED]; exact bolt length ASSUMPTION,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FLR-002 started loose,"Start rear FloorBoard2 fastener(s), square the floor, then snug front/rear in an alternating pattern.",matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,VERIFIED,ASM-05: flat-plate rock test after all FloorBoard2 screws are snug.,READY,p0_02 §1
J-FLR-004,Z0 floor,floor,5.04,ASM-05,2023 rear floor,rear floor 2,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,"Two coaxial pairs at X−85.93/L±5.00, 3.00 mm STL features [VERIFIED]",screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FLR-001…003 complete,"Stack rear-floor-2 on the documented lower plane, align both coaxial holes and start both M3 fasteners before snugging.",matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,VERIFIED,ASM-05: confirm both plates remain coaxial and the bendable tail is free.,READY,p0_d01_feature_map.csv; drawing [2]
J-FLR-005,Z0 floor,floor,5.05,ASM-05,side vent L,2023 front floor,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,Donor M3 mounting topology DOCUMENTED; exact local hole Ø and bolt length unmeasured,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,Datum floor flat,Seat left vent on its keyed floor edge; install the shortest BOM M3 bolt that fully engages without protruding into the shell.,matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,DOCUMENTED,ASM-05: caliper hole and underfloor protrusion; log chosen BOM length.,READY,
J-FLR-006,Z0 floor,floor,5.06,ASM-05,side vent R,2023 front floor,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,Donor M3 mounting topology DOCUMENTED; exact local hole Ø and bolt length unmeasured,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FLR-005 orientation established,Mirror the left-side sequence; start all vent fasteners before snugging.,matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,DOCUMENTED,ASM-05: caliper hole and underfloor protrusion; log chosen BOM length.,READY,
J-FLR-007,Z0 floor,floor,5.07,ASM-05,floor diffuser,rear floor 2,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,Diffuser-to-floor screw topology DOCUMENTED; exact feature Ø/count on selected tail ASSUMPTION,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FLR-004 complete; rear LED pull-through route still open,"Offer diffuser from the rear, align without flex preload, start M3 hardware, and keep the LED channel accessible.",matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,ASSUMPTION,ASM-05/13: measure feature Ø/count and prove the diffuser can be removed without cutting H-08.,HOLD,drawing [2]; ASSEMBLY_NOTES Stage 4
J-SRV-001,ZS steering,servo,6.01,ASM-06,Servoholder,2023 rear floor,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,Floor/holder M3 feature topology DOCUMENTED; holder has no verified insert seat,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-FLR-001…007 complete,Install the 58 mm holder longitudinally on the rear floor; start both ends before snugging and keep the arch square.,matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,DOCUMENTED,"ASM-06: record floor holes, chosen BOM bolt lengths and whether nuts or plastic threads retain them.",READY,
J-SRV-002,ZS steering,servo,6.02,ASM-06,DS3235SG servo,Servoholder,M3 bolt from 8/10/12/20/30 mm BOM kit + M3 nut where through; exact length ASSUMPTION,42×18.5 mm holder arch VERIFIED; servo side face 40×20 mm DOCUMENTED; ear holes/stack ASSUMPTION,screw; captive/standard nut where the drawing shows a slot; no insert unless this row names one,J-SRV-001 snug; DS3235SG unpowered,No-force side-on fit with shaft horizontal/lateral; align both ear pairs and fit BOM M3 hardware only if the ears land without case preload.,matching 1.5/2/2.5 mm hex driver + nut driver; confirm supplied head,Plastic: snug only. Metal–metal: low-strength threadlock after dry fit. No numeric torque is documented.,ASSUMPTION,"ASM-06: record ear-hole Ø/pitch, spacer stack and the selected 8/10/12/20/30 mm bolt length.",HOLD,Y steering study §3–4
J-SRV-003,ZS steering,servo,6.03,ASM-06,DS3235SG servo,2023 rear floor,no fastener; designed shell/floor landing contact,Servo case-to-floor/holder clearance is a physical landing; no direct fastener [ASSUMPTION],gravity/contact landing with nearby registered fasteners carrying retention,J-SRV-002 dry-fitted,Confirm the servo body is supported by the holder rather than wedged between floor and arch; retain a lead exit with no pinch.,feeler gauges + inspection light,No torque/threadlock at the landing itself; do not shim unless a later decision authorizes it.,ASSUMPTION,ASM-06: 0.1 mm feeler/no-force test around case and lead; STOP if the documented 20 mm face will not pass.,READY,
J-SRV-004,ZS steering,servo,7.01,ASM-07,DS3235SG servo,25T metal horn,DS3235SG 25T metal horn + servo's own horn screw,25T spline and horn radii 19.5/23.5 mm DOCUMENTED; supplied horn-screw thread not independently measured,press horn onto 25T spline at neutral; centre screw retains it,J-SRV-002 accepted; servo powered and centred,"At commanded neutral, press the ordinary metal horn onto the 25T spline vertically; install the servo's own horn screw.",servo tester/control setup + matching driver for the supplied horn screw,Seat fully without rocking; final-tighten only after centring. Threadlock only if servo maker permits it.,DOCUMENTED,ASM-07: power-cycle centre repeatability ±1° and photograph selected horn-hole radius.,READY,Y steering study §4/§9; user target chain
J-STR-001,ZS steering,steering,8.01,ASM-08,25T metal horn,M3 ball stud,"M3 ball stud + M4 rod-end + M4 threaded rod cut to ≈22 mm, all from supplied BOM",Horn outer hole at 19.5 or 23.5 mm radius DOCUMENTED; hole Ø/thread for M3 ball stud ASSUMPTION,rod-end clips on ball; M4 thread carries axial adjustment; ball stud retained by its M3 thread/nut,J-SRV-004 centred,"Select the least aggressive usable horn radius, fit the M3 ball stud with its supplied nut/thread, and orient the ball toward the rod line.","calipers, fine saw/cutoff tool, file, two small spanners, ball-end pliers if available",Deburr cut rod. Equal thread engagement both ends. Low-strength threadlock only at final metal–metal threads.,ASSUMPTION,"ASM-08: gauge horn hole Ø, record 19.5/23.5 selection and retention side.",READY,
J-STR-002,ZS steering,steering,8.02,ASM-08,M3 ball stud,M4 rod-end,"M3 ball stud + M4 rod-end + M4 threaded rod cut to ≈22 mm, all from supplied BOM",M3 ball / M4 rod-end pairing is BOM-listed topology; actual ball cup fit ASSUMPTION,rod-end clips on ball; M4 thread carries axial adjustment; ball stud retained by its M3 thread/nut,J-STR-001 complete,Press the near M4 rod-end squarely over the horn ball by hand/ball-end pliers; do not lever on the servo shaft.,"calipers, fine saw/cutoff tool, file, two small spanners, ball-end pliers if available",Deburr cut rod. Equal thread engagement both ends. Low-strength threadlock only at final metal–metal threads.,ASSUMPTION,ASM-08: snap/tug test and articulation through the horn sweep.,READY,
J-STR-003,ZS steering,steering,8.03,ASM-08,M4 rod-end,M4 threaded rod cut ≈22 mm,"M3 ball stud + M4 rod-end + M4 threaded rod cut to ≈22 mm, all from supplied BOM",M4 female rod-end thread + ≈22 mm M4 threaded rod DOCUMENTED; engagement depth ASSUMPTION,rod-end clips on ball; M4 thread carries axial adjustment; ball stud retained by its M3 thread/nut,"Rod cut, ends deburred",Thread the near rod-end halfway onto the cut M4 rod and count turns.,"calipers, fine saw/cutoff tool, file, two small spanners, ball-end pliers if available",Deburr cut rod. Equal thread engagement both ends. Low-strength threadlock only at final metal–metal threads.,DOCUMENTED,"ASM-08: record cut length, thread engagement and exposed thread.",READY,
J-STR-004,ZS steering,steering,8.04,ASM-08,M4 threaded rod cut ≈22 mm,M4 rod-end,"M3 ball stud + M4 rod-end + M4 threaded rod cut to ≈22 mm, all from supplied BOM",Second M4 rod-end on the same ≈22 mm threaded rod DOCUMENTED; finished centre distance ASSUMPTION,rod-end clips on ball; M4 thread carries axial adjustment; ball stud retained by its M3 thread/nut,J-STR-003,Thread the far rod-end by the same turn count; orient both cups without twisting the rod.,"calipers, fine saw/cutoff tool, file, two small spanners, ball-end pliers if available",Deburr cut rod. Equal thread engagement both ends. Low-strength threadlock only at final metal–metal threads.,DOCUMENTED,ASM-08: caliper finished ball-centre distance and confirm equal engagement.,READY,
